"Stn Code","Sampling Date","State","City/Town/Village/Area","Location of Monitoring Station","Agency","Type of Location","SO2","NO2","RSPM/PM10","PM 2.5"
394,25-10-14,Telangana,Hyderabad,"Charminar, Hyderabad",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",4,20,88,NA
394,28-10-14,Telangana,Hyderabad,"Charminar, Hyderabad",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,32,113,NA
394,11-03-14,Telangana,Hyderabad,"Charminar, Hyderabad",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,30,125,NA
394,11-06-14,Telangana,Hyderabad,"Charminar, Hyderabad",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,32,116,NA
394,11-09-14,Telangana,Hyderabad,"Charminar, Hyderabad",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,28,125,NA
394,11-11-14,Telangana,Hyderabad,"Charminar, Hyderabad",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,22,87,NA
394,15-11-14,Telangana,Hyderabad,"Charminar, Hyderabad",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,31,93,NA
394,19-11-14,Telangana,Hyderabad,"Charminar, Hyderabad",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,34,100,NA
394,23-11-14,Telangana,Hyderabad,"Charminar, Hyderabad",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,29,101,NA
394,25-11-14,Telangana,Hyderabad,"Charminar, Hyderabad",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,32,108,NA
394,28-11-14,Telangana,Hyderabad,"Charminar, Hyderabad",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,34,152,NA
394,12-03-14,Telangana,Hyderabad,"Charminar, Hyderabad",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,32,113,NA
394,12-06-14,Telangana,Hyderabad,"Charminar, Hyderabad",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,29,152,NA
394,12-09-14,Telangana,Hyderabad,"Charminar, Hyderabad",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,27,141,NA
394,12-11-14,Telangana,Hyderabad,"Charminar, Hyderabad",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,30,127,NA
394,15-12-14,Telangana,Hyderabad,"Charminar, Hyderabad",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,30,87,NA
394,19-12-14,Telangana,Hyderabad,"Charminar, Hyderabad",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,27,128,NA
394,22-12-14,Telangana,Hyderabad,"Charminar, Hyderabad",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,36,129,NA
394,25-12-14,Telangana,Hyderabad,"Charminar, Hyderabad",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,32,170,NA
