Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
165,January - M011993,Maharashtra,Nagpur,NA,Industrial Area,8.4,3.3,NA,NA
166,January - M011993,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",6,19.6,NA,NA
167,January - M011993,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",6,5.7,NA,NA
168,January - M011993,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",49.5,32.3,NA,NA
169,January - M011993,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",17.1,37.1,NA,NA
170,January - M011993,Maharashtra,Bombay,NA,Industrial Area,33.4,35.6,NA,NA
94,January - M011993,Maharashtra,Nagpur,Maharashtra Pollution Control Board,"Residential, Rural and other Areas",9.3,31.3,NA,NA
133,January - M011993,Maharashtra,Nagpur,NA,Industrial Area,9.3,18.9,NA,NA
136,January - M011993,Maharashtra,Nagpur,NA,Industrial Area,10.8,19.3,NA,NA
165,February - M021993,Maharashtra,Nagpur,NA,Industrial Area,6,3.9,NA,NA
166,February - M021993,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",6,10.4,NA,NA
167,February - M021993,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",6,5.4,NA,NA
169,February - M021993,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",17.7,33.9,NA,NA
170,February - M021993,Maharashtra,Bombay,NA,Industrial Area,23.3,32.2,NA,NA
94,February - M021993,Maharashtra,Nagpur,Maharashtra Pollution Control Board,"Residential, Rural and other Areas",9.8,30.9,NA,NA
133,February - M021993,Maharashtra,Nagpur,NA,Industrial Area,8.2,30.7,NA,NA
136,February - M021993,Maharashtra,Nagpur,NA,Industrial Area,7,28.2,NA,NA
165,March - M031993,Maharashtra,Nagpur,NA,Industrial Area,6,3,NA,NA
166,March - M031993,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",6,5.4,NA,NA
167,March - M031993,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",6,3.1,NA,NA
169,March - M031993,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",14.1,31.1,NA,NA
170,March - M031993,Maharashtra,Bombay,NA,Industrial Area,20,37.5,NA,NA
94,March - M031993,Maharashtra,Nagpur,Maharashtra Pollution Control Board,"Residential, Rural and other Areas",7.4,23.6,NA,NA
133,March - M031993,Maharashtra,Nagpur,NA,Industrial Area,6.4,26.8,NA,NA
136,March - M031993,Maharashtra,Nagpur,NA,Industrial Area,7,29.7,NA,NA
165,April - M041993,Maharashtra,Nagpur,NA,Industrial Area,6,4.4,NA,NA
166,April - M041993,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",6,20.5,NA,NA
167,April - M041993,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",6,5.5,NA,NA
169,April - M041993,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",9.1,30.7,NA,NA
170,April - M041993,Maharashtra,Bombay,NA,Industrial Area,11.7,24.7,NA,NA
52,April - M041993,Maharashtra,Pune,Maharashtra Pollution Control Board,Industrial Area,22,31.8,NA,NA
54,April - M041993,Maharashtra,Pune,Maharashtra Pollution Control Board,"Residential, Rural and other Areas",34.6,34,NA,NA
94,April - M041993,Maharashtra,Nagpur,Maharashtra Pollution Control Board,"Residential, Rural and other Areas",10.1,18,NA,NA
133,April - M041993,Maharashtra,Nagpur,NA,Industrial Area,9.6,17.6,NA,NA
136,April - M041993,Maharashtra,Nagpur,NA,Industrial Area,10.4,21.7,NA,NA
230,April - M041993,Maharashtra,Pune,Maharashtra Pollution Control Board,NA,25.7,36.7,NA,NA
165,May - M051993,Maharashtra,Nagpur,NA,Industrial Area,9.1,4.1,NA,NA
166,May - M051993,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",6,7.2,NA,NA
167,May - M051993,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",6,10.2,NA,NA
169,May - M051993,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",6.7,16.4,NA,NA
170,May - M051993,Maharashtra,Bombay,NA,Industrial Area,13.5,37.2,NA,NA
52,May - M051993,Maharashtra,Pune,Maharashtra Pollution Control Board,Industrial Area,30.9,38.1,NA,NA
54,May - M051993,Maharashtra,Pune,Maharashtra Pollution Control Board,"Residential, Rural and other Areas",24.3,36.7,NA,NA
94,May - M051993,Maharashtra,Nagpur,Maharashtra Pollution Control Board,"Residential, Rural and other Areas",9.5,19,NA,NA
133,May - M051993,Maharashtra,Nagpur,NA,Industrial Area,9.3,19.4,NA,NA
136,May - M051993,Maharashtra,Nagpur,NA,Industrial Area,10.3,20.5,NA,NA
230,May - M051993,Maharashtra,Pune,Maharashtra Pollution Control Board,NA,26.7,40.5,NA,NA
165,June - M061993,Maharashtra,Nagpur,NA,Industrial Area,6,3,NA,NA
166,June - M061993,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",6,3,NA,NA
167,June - M061993,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",6,3,NA,NA
169,June - M061993,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",9.2,31.5,NA,NA
170,June - M061993,Maharashtra,Bombay,NA,Industrial Area,26.8,24.1,NA,NA
52,June - M061993,Maharashtra,Pune,Maharashtra Pollution Control Board,Industrial Area,21.6,34.3,NA,NA
54,June - M061993,Maharashtra,Pune,Maharashtra Pollution Control Board,"Residential, Rural and other Areas",43.8,33.8,NA,NA
94,June - M061993,Maharashtra,Nagpur,Maharashtra Pollution Control Board,"Residential, Rural and other Areas",9.2,24.6,NA,147
133,June - M061993,Maharashtra,Nagpur,NA,Industrial Area,9.4,20,NA,NA
136,June - M061993,Maharashtra,Nagpur,NA,Industrial Area,10.6,23.3,NA,NA
