Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
38,January - M011997,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,56.3,5.3,NA,103
71,January - M011997,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,55.5,8.4,NA,108
72,January - M011997,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,40,7.8,NA,150
260,January - M011997,Tamil Nadu,Coimbatore,Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",NA,4.5,NA,97
238,January - M011997,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,NA,5.7,NA,159
237,January - M011997,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,7.3,7.8,NA,101
239,January - M011997,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,12.6,17.7,NA,40
206,January - M011997,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,9.6,12.9,NA,83
240,January - M011997,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,12.9,15.4,NA,30
160,January - M011997,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",9.5,14.1,NA,78
159,January - M011997,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",12.2,23.2,NA,97
161,January - M011997,Tamil Nadu,Madras,NA,Industrial Area,12.9,10.8,NA,108
260,February - M021997,Tamil Nadu,Coimbatore,Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",NA,3.4,NA,93
238,February - M021997,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,NA,5.2,NA,144
237,February - M021997,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,NA,5.6,NA,112
38,February - M021997,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,18.5,3.6,NA,164
71,February - M021997,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,12.7,5.8,NA,93
72,February - M021997,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,8,7.6,NA,146
239,February - M021997,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,13,20.8,NA,68
206,February - M021997,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,NA,12.8,NA,97
240,February - M021997,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,23.4,13.3,NA,59
160,February - M021997,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",9.4,10.4,NA,69
159,February - M021997,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",10.3,17.3,NA,103
161,February - M021997,Tamil Nadu,Madras,NA,Industrial Area,11.8,8.5,NA,126
260,March - M031997,Tamil Nadu,Coimbatore,Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",NA,4,NA,80
238,March - M031997,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,NA,4.2,NA,90
237,March - M031997,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,6,4,NA,185
38,March - M031997,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,25.3,5.7,NA,200
71,March - M031997,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,24.1,3.6,NA,96
72,March - M031997,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,30.8,5.9,NA,128
239,March - M031997,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,14.4,16.2,NA,34
206,March - M031997,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,16,13.2,NA,90
240,March - M031997,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,16.8,14.8,NA,38
160,March - M031997,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",6,9.4,NA,85
159,March - M031997,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",7.3,9.6,NA,113
161,March - M031997,Tamil Nadu,Madras,NA,Industrial Area,8.1,9.4,NA,111
38,April - M041997,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,26.6,3.7,NA,162
71,April - M041997,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,10.4,3.6,NA,66
72,April - M041997,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,6,3.4,NA,59
239,April - M041997,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,17,22.1,NA,71
206,April - M041997,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,10.5,13.6,NA,89
240,April - M041997,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,12.9,15.7,NA,57
260,April - M041997,Tamil Nadu,Coimbatore,Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",NA,3.1,NA,48
238,April - M041997,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,6,3.9,NA,84
237,April - M041997,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,NA,4.5,NA,94
160,April - M041997,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",6.6,7.3,NA,55
159,April - M041997,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",7.2,6.5,NA,93
161,April - M041997,Tamil Nadu,Madras,NA,Industrial Area,7.2,6.7,NA,121
38,May - M051997,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,NA,9.3,NA,138
71,May - M051997,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,6,5.3,NA,124
72,May - M051997,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,7.2,3.1,NA,112
260,May - M051997,Tamil Nadu,Coimbatore,Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",NA,3,NA,41
237,May - M051997,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,6,4.5,NA,118
239,May - M051997,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,13.2,28.9,NA,66
206,May - M051997,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,15.5,16.8,NA,139
240,May - M051997,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,14.3,16.4,NA,56
238,May - M051997,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,NA,3.7,NA,99
160,May - M051997,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",6.2,7.7,NA,75
159,May - M051997,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",7.2,8.6,NA,75
161,May - M051997,Tamil Nadu,Madras,NA,Industrial Area,9.7,7.8,NA,117
38,June - M061997,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,13.1,20.2,NA,139
71,June - M061997,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,8.4,27.5,NA,162
