Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
7/4/2007,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.7,33.3,81,284
7/8/2007,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5,32.9,76,403
14-07-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.2,33,74,308
16-07-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.3,27.7,52,272
24-07-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,4.9,31.4,69,360
26-07-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.4,34,71,263
28-07-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,4.7,30.3,69,240
8/2/2007,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.1,21.1,52,244
8/4/2007,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.4,27.7,63,246
8/8/2007,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.4,26.3,69,283
8/10/2007,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.2,29.3,48,240
16-08-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,4.9,39.4,54,336
20-08-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,4.9,30,53,137
22-08-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.2,27.1,47,238
26-08-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.1,32.9,71,231
28-08-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.4,26.9,83,222
9/2/2007,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.2,28.8,65,168
9/4/2007,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.4,30.6,50,163
9/8/2007,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,4.9,27.1,50,147
9/10/2007,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.2,26.7,47,187
14-09-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,4.7,31.2,55,142
20-09-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.1,29.2,61,160
22-09-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.7,27.2,76,265
26-09-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.4,31.9,53,245
28-09-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.3,31.2,54,233
10/4/2007,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.2,30.8,96,296
10/8/2007,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.1,28.8,112,339
10/10/2007,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.3,31,125,318
14-10-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5,29.4,96,294
16-10-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.2,30.1,113,365
20-10-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.1,32.4,76,279
22-10-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.4,31.6,100,322
26-10-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,4.9,30.9,83,252
28-10-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,4.9,32.2,102,291
11/6/2007,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.4,31,131,358
14-11-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.5,38.5,110,431
16-11-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,6.2,41,126,347
18-11-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.3,35,133,362
20-11-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.6,35.9,101,309
22-11-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.7,38.2,140,371
