Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
700,4/4/2011,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",8,9,128,NA
700,4/4/2011,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",8,9,128,NA
700,4/5/2011,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",8,9,129,NA
700,4/5/2011,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",8,9,129,NA
700,4/11/2011,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",8,9,126,NA
700,4/11/2011,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",8,9,126,NA
700,4/12/2011,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",8,10,127,NA
700,4/12/2011,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",8,10,127,NA
700,18/04/2011,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",8,10,130,NA
700,18/04/2011,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",8,10,130,NA
700,19/04/2011,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",8,10,130,NA
700,19/04/2011,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",8,10,130,NA
700,25/04/2011,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",8,10,131,NA
700,25/04/2011,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",8,10,131,NA
700,26/04/2011,Maharashtra,Akola,"L.R.T. Commerce College, Ratanlal Plot, Civil Lines, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",9,10,131,NA
