Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
160,January - M011996,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",10,13.9,NA,131
159,January - M011996,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",16.5,31.5,NA,145
161,January - M011996,Tamil Nadu,Madras,NA,Industrial Area,10.4,13.3,NA,124
38,January - M011996,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,4,7.2,NA,125
71,January - M011996,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,2.6,7.2,NA,70
72,January - M011996,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,2.7,6.8,NA,126
239,January - M011996,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,3.2,11.5,NA,28
206,January - M011996,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,3.4,10.8,NA,61
240,January - M011996,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,2.6,10.7,NA,37
261,January - M011996,Tamil Nadu,Coimbatore,TNPC,Industrial Area,0,0.2,NA,9
238,January - M011996,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,1.8,2.4,NA,35
237,January - M011996,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,3,3.6,NA,40
161,February - M021996,Tamil Nadu,Madras,NA,Industrial Area,6,10.4,NA,124
160,February - M021996,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",6,8.4,NA,132
159,February - M021996,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",7.1,24.8,NA,110
206,February - M021996,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,2.1,9,NA,92
239,February - M021996,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,1.7,12.5,NA,41
38,February - M021996,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,3.4,13.9,NA,185
71,February - M021996,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,2.1,11,NA,63
72,February - M021996,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,2.3,13.2,NA,153
261,February - M021996,Tamil Nadu,Coimbatore,TNPC,Industrial Area,0,1.7,NA,92
237,February - M021996,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,2.2,4,NA,60
238,February - M021996,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,1.9,4.3,NA,62
240,February - M021996,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,4.7,12.6,NA,31
160,March - M031996,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",6.5,6.6,NA,84
159,March - M031996,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",6.6,11.4,NA,113
161,March - M031996,Tamil Nadu,Madras,NA,Industrial Area,9.5,12.4,NA,159
206,March - M031996,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,3.2,11,NA,106
239,March - M031996,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,2.5,10.7,NA,40
240,March - M031996,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,4.1,16.1,NA,45
38,March - M031996,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,1,10.5,NA,277
71,March - M031996,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,0.9,9.7,NA,146
72,March - M031996,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,1.7,8.8,NA,123
238,March - M031996,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,0,11.3,NA,20
160,April - M041996,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",7,9,NA,58
159,April - M041996,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",6.2,13.8,NA,58
161,April - M041996,Tamil Nadu,Madras,NA,Industrial Area,6,10.7,NA,62
240,April - M041996,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,7.3,13.2,NA,78
239,April - M041996,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,8.6,12.3,NA,68
206,April - M041996,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,7.9,11.6,NA,246
38,April - M041996,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,0.7,6,NA,268
71,April - M041996,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,1.9,4.8,NA,92
72,April - M041996,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,1.9,7.7,NA,114
160,May - M051996,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",6.1,5.7,NA,45
159,May - M051996,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",6.1,13.1,NA,137
161,May - M051996,Tamil Nadu,Madras,NA,Industrial Area,6.4,12.4,NA,98
261,May - M051996,Tamil Nadu,Coimbatore,TNPC,Industrial Area,0.6,1.2,NA,38
238,May - M051996,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,1.8,2.4,NA,49
237,May - M051996,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,2.4,3.2,NA,51
239,May - M051996,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,2.1,8.9,NA,53
206,May - M051996,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,1.5,6.1,NA,179
240,May - M051996,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,6.1,10.4,NA,74
38,May - M051996,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,3.2,8.5,NA,407
71,May - M051996,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,5.4,6.6,NA,198
72,May - M051996,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,2.8,3.7,NA,178
160,June - M061996,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",10.1,4.1,NA,38
161,June - M061996,Tamil Nadu,Madras,NA,Industrial Area,9.9,4.5,NA,110
159,June - M061996,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",11.3,4.6,NA,93
38,June - M061996,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,51.1,13.9,NA,330
71,June - M061996,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,14.9,10.7,NA,115
72,June - M061996,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,28.2,14.8,NA,127
239,June - M061996,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,2.1,8,NA,49
206,June - M061996,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,1.5,7.2,NA,154
240,June - M061996,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,5.7,9.4,NA,64
160,July - M071996,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",6,7.6,NA,50
159,July - M071996,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",6.3,14.6,NA,100
161,July - M071996,Tamil Nadu,Madras,NA,Industrial Area,6,18.6,NA,100
237,July - M071996,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,0.8,2.4,NA,52
238,July - M071996,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,0.6,1.8,NA,41
