Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
159,January - M012000,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",7.1,20.4,NA,132
160,January - M012000,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",8.3,17.1,NA,96
161,January - M012000,Tamil Nadu,Madras,NA,Industrial Area,8.1,11.4,NA,108
38,January - M012000,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,6.6,4,NA,92
71,January - M012000,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,8.2,4.6,NA,128
72,January - M012000,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,7.8,8.8,NA,92
206,January - M012000,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,NA,19.9,NA,68
237,January - M012000,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,7.8,41.6,NA,65
238,January - M012000,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,5.4,33.6,NA,46
240,January - M012000,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,7.5,24.1,NA,28
260,January - M012000,Tamil Nadu,Coimbatore,Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",1.7,17.8,NA,43
159,February - M022000,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",6,12.8,NA,80
160,February - M022000,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",6,9.4,NA,73
161,February - M022000,Tamil Nadu,Madras,NA,Industrial Area,6.3,9.1,NA,106
38,February - M022000,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,35.7,6,NA,112
71,February - M022000,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,25.3,6,NA,89
72,February - M022000,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,7.7,7.1,NA,49
206,February - M022000,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,12.1,32.6,NA,70
239,February - M022000,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,14.4,34.3,NA,46
240,February - M022000,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,16.9,35.5,NA,32
306,February - M022000,Tamil Nadu,Madurai,Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",4.2,21.7,NA,73
307,February - M022000,Tamil Nadu,Madurai,Tamilnadu State Pollution Control Board,Industrial Area,2.1,25.9,NA,122
308,February - M022000,Tamil Nadu,Madurai,Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",5.1,47.6,NA,198
159,March - M032000,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",6.6,10.3,NA,108
160,March - M032000,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",6.2,9.4,NA,30
161,March - M032000,Tamil Nadu,Madras,NA,Industrial Area,6.5,11.9,NA,61
206,March - M032000,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,12.8,36,NA,74
239,March - M032000,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,15.1,30,NA,44
240,March - M032000,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,14.1,30.9,NA,49
306,March - M032000,Tamil Nadu,Madurai,Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",2.3,21.2,NA,113
307,March - M032000,Tamil Nadu,Madurai,Tamilnadu State Pollution Control Board,Industrial Area,2.7,38,NA,123
308,March - M032000,Tamil Nadu,Madurai,Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",2.7,29.6,NA,235
