Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
1/5/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,9.2,79.8,431,818
1/7/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,10.8,116.2,454,902
1/11/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,11.5,113,247,524
13/1/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,11,111.2,327,651
15/1/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,11.8,109.9,325,673
24/1/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,10.1,102.3,103,225
26/1/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,9.8,100.9,181,394
28/1/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,11.1,99.5,238,491
30/1/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,12,105,193,406
2/7/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,10.8,104.8,240,474
2/9/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,10.5,102.7,186,402
13/2/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,10.5,100,181,389
15/2/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,11.1,99.7,203,405
17/2/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,10.6,99.7,308,623
19/2/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,9.2,98.9,209,446
25/2/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,10.1,96.5,147,306
27/2/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,9,93.8,177,376
3/6/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.8,87.2,110,246
3/8/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,7.3,86,208,436
3/11/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,8.4,86.8,209,444
14/3/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,8.3,92.5,213,435
16/3/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,8.3,89.6,171,354
19/3/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,7.9,85.9,151,327
24/3/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,9,87.9,112,251
29/3/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,7.4,80.5,129,296
31/3/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,8.4,78.7,114,247
4/5/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,7.4,80.5,92,212
4/7/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,8.1,77.4,137,278
4/9/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,7.4,80.3,167,343
15/4/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,7.4,78.8,80,182
17/4/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.5,75.1,87,199
20/4/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,8.7,76.9,129,261
25/4/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.6,77.3,79,167
5/1/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,8.1,68.7,69,151
5/3/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,7.5,64.7,100,204
5/7/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,7.7,62.6,73,150
5/9/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,7.7,64.6,62,146
5/12/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,7.8,64.3,85,181
14/5/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,8.4,73.3,87,185
20/5/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,8.4,70.1,80,188
22/5/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,8.1,63,91,208
25/5/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,7.1,58.8,94,215
27/5/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,7.2,60.4,80,201
6/5/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,7,63.5,37,99
6/7/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.9,60.4,58,147
6/10/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.9,53.4,44,112
13/6/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.4,52.2,55,144
15/6/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.5,56.6,51,134
21/6/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.5,54.4,51,133
23/6/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.6,57.7,63,161
25/6/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,7.6,60.7,67,160
7/3/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,7.4,59.1,47,131
7/5/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,8.2,59.7,43,107
7/7/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,7.8,57,53,135
7/9/2008,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.3,51.8,55,136
