Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
162,January - M011993,West Bengal,Calcutta,NA,Industrial Area,44.8,43.4,NA,NA
163,January - M011993,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",86.1,56.6,NA,NA
164,January - M011993,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",25.6,32.4,NA,NA
15,January - M011993,West Bengal,Haldia,CMEC,Industrial Area,22.5,48.3,NA,NA
14,January - M011993,West Bengal,Haldia,CMEC,Industrial Area,21.4,38.6,NA,NA
11,January - M011993,West Bengal,Howrah,West Bengal Pollution Control Board,Industrial Area,36,148.9,NA,NA
8,January - M011993,West Bengal,Howrah,West Bengal Pollution Control Board,Industrial Area,163,225.8,NA,NA
9,January - M011993,West Bengal,Howrah,West Bengal Pollution Control Board,Industrial Area,46.4,113.7,NA,NA
10,January - M011993,West Bengal,Howrah,West Bengal Pollution Control Board,Industrial Area,139.1,193,NA,NA
162,February - M021993,West Bengal,Calcutta,NA,Industrial Area,39.6,46.8,NA,NA
163,February - M021993,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",77.5,67.5,NA,NA
164,February - M021993,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",38.9,29,NA,NA
11,February - M021993,West Bengal,Howrah,West Bengal Pollution Control Board,Industrial Area,39.6,103.3,NA,NA
8,February - M021993,West Bengal,Howrah,West Bengal Pollution Control Board,Industrial Area,137,160.8,NA,NA
9,February - M021993,West Bengal,Howrah,West Bengal Pollution Control Board,Industrial Area,35.1,100.9,NA,NA
10,February - M021993,West Bengal,Howrah,West Bengal Pollution Control Board,Industrial Area,136.1,172.9,NA,NA
162,March - M031993,West Bengal,Calcutta,NA,Industrial Area,30,35.5,NA,NA
163,March - M031993,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",45.1,92.2,NA,NA
164,March - M031993,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",13.8,14.3,NA,NA
15,March - M031993,West Bengal,Haldia,CMEC,Industrial Area,27.6,37.5,NA,NA
