Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
40,January - M011998,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,30,27.1,NA,92
41,January - M011998,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,31.3,27.3,NA,112
79,January - M011998,Karnataka,Bangalore,Karnataka Pollution Control Board,"Residential, Rural and other Areas",28.2,21.6,NA,263
78,January - M011998,Karnataka,Bangalore,Karnataka Pollution Control Board,Industrial Area,30.1,20.7,NA,218
77,January - M011998,Karnataka,Bangalore,Karnataka Pollution Control Board,Industrial Area,25.2,21.4,NA,144
40,February - M021998,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,29.6,26,NA,113
41,February - M021998,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,30.3,26.7,NA,113
79,February - M021998,Karnataka,Bangalore,Karnataka Pollution Control Board,"Residential, Rural and other Areas",29,24.7,NA,272
78,February - M021998,Karnataka,Bangalore,Karnataka Pollution Control Board,Industrial Area,30.5,20.4,NA,258
77,February - M021998,Karnataka,Bangalore,Karnataka Pollution Control Board,Industrial Area,34.8,19.2,NA,101
40,March - M031998,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,31.9,28.1,NA,89
41,March - M031998,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,34.5,29.8,NA,101
79,March - M031998,Karnataka,Bangalore,Karnataka Pollution Control Board,"Residential, Rural and other Areas",32.8,21.7,NA,241
78,March - M031998,Karnataka,Bangalore,Karnataka Pollution Control Board,Industrial Area,31.5,18,NA,247
77,March - M031998,Karnataka,Bangalore,Karnataka Pollution Control Board,Industrial Area,29.1,17.4,NA,123
40,April - M041998,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,32.8,28.7,NA,115
41,April - M041998,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,35.3,30.5,NA,108
79,April - M041998,Karnataka,Bangalore,Karnataka Pollution Control Board,"Residential, Rural and other Areas",37.3,22.5,NA,262
78,April - M041998,Karnataka,Bangalore,Karnataka Pollution Control Board,Industrial Area,36.9,22.1,NA,225
77,April - M041998,Karnataka,Bangalore,Karnataka Pollution Control Board,Industrial Area,31.1,20,NA,76
79,May - M051998,Karnataka,Bangalore,Karnataka Pollution Control Board,"Residential, Rural and other Areas",39.6,24.8,NA,237
78,May - M051998,Karnataka,Bangalore,Karnataka Pollution Control Board,Industrial Area,39.4,23.1,NA,172
77,May - M051998,Karnataka,Bangalore,Karnataka Pollution Control Board,Industrial Area,30.7,20.3,NA,97
40,May - M051998,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,32.2,28.6,NA,106
41,May - M051998,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,36.2,32.2,NA,97
40,June - M061998,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,30.8,27,NA,82
41,June - M061998,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,32.9,28.9,NA,44
79,June - M061998,Karnataka,Bangalore,Karnataka Pollution Control Board,"Residential, Rural and other Areas",40,31.3,NA,193
78,June - M061998,Karnataka,Bangalore,Karnataka Pollution Control Board,Industrial Area,34.3,24.7,NA,143
77,June - M061998,Karnataka,Bangalore,Karnataka Pollution Control Board,Industrial Area,32.8,23.7,NA,77
40,July - M071998,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,29.6,24.7,NA,92
41,July - M071998,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,32.3,27.7,NA,44
79,July - M071998,Karnataka,Bangalore,Karnataka Pollution Control Board,"Residential, Rural and other Areas",39.5,29.1,NA,179
78,July - M071998,Karnataka,Bangalore,Karnataka Pollution Control Board,Industrial Area,36.9,25.9,NA,122
77,July - M071998,Karnataka,Bangalore,Karnataka Pollution Control Board,Industrial Area,30.6,20.9,NA,76
40,August - M081998,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,25.9,18.6,NA,79
41,August - M081998,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,29.1,27.9,NA,82
79,August - M081998,Karnataka,Bangalore,Karnataka Pollution Control Board,"Residential, Rural and other Areas",40.6,32.5,NA,128
78,August - M081998,Karnataka,Bangalore,Karnataka Pollution Control Board,Industrial Area,37.9,29,NA,137
77,August - M081998,Karnataka,Bangalore,Karnataka Pollution Control Board,Industrial Area,34.7,21.9,NA,81
40,September - M091998,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,31.2,27.3,NA,74
41,September - M091998,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,28.8,21.6,NA,47
79,September - M091998,Karnataka,Bangalore,Karnataka Pollution Control Board,"Residential, Rural and other Areas",43.1,30,NA,199
