Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
77,1/11/2011,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,14.86666667,28.3,257,NA
77,13/01/2011,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,17.425,31.65,551,NA
77,18/01/2011,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,20,32,356,NA
77,24/01/2011,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,16,30,159,NA
77,31/01/2011,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,16,31,52,NA
77,2/7/2011,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,17,30,245,NA
77,2/10/2011,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,18,32,66,NA
77,14/02/2011,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,20,31,245,NA
77,25/04/2011,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,46,41,40,NA
77,5/9/2011,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,33,43,53,NA
77,16/05/2011,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,36,52,59,NA
77,19/05/2011,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,40,51,69,NA
77,30/05/2011,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,14,31,55,NA
77,15/06/2011,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,13,32,65,NA
77,7/12/2011,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,19,32,114,NA
77,15/07/2011,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,49,32,30,NA
77,18/07/2011,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,17,26,137,NA
77,21/07/2011,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,19,33,78,NA
77,25/07/2011,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,18,25,182,NA
77,27/07/2011,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,15,29,53,NA
77,29/07/2011,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,15,30,143,NA
77,8/3/2011,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,16,31,95,NA
77,8/5/2011,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,19,31,147,NA
77,8/8/2011,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,15,31,97,NA
77,8/11/2011,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,16,33,35,NA
77,16/08/2011,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,16,30,31,NA
77,19/08/2011,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,16,30,57,NA
77,22/08/2011,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,15,30,163,NA
77,29/08/2011,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,19,31,66,NA
77,10/3/2011,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,18,32,39,NA
77,13/10/2011,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,15,30,118,NA
77,17/10/2011,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,16,30,85,NA
77,22/10/2011,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,19,43,74,NA
77,25/10/2011,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,20,30,82,NA
77,26/10/2011,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,21,34,98,NA
77,27/10/2011,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,21,50,97,NA
77,29/10/2011,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,19,28,58,NA
77,11/10/2011,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,16,30,88,NA
77,15/11/2011,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,19,30,425,NA
77,18/11/2011,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,16,31,76,NA
77,25/11/2011,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,18,30,92,NA
77,29/11/2011,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,17,31,101,NA
77,12/8/2011,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,16,31,78,NA
77,14/12/2011,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,16,31,93,NA
77,19/12/2011,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,16,31,109,NA
77,21/12/2011,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,18,30,41,NA
77,28/12/2011,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,20,31,237,NA
77,30/12/2011,Karnataka,Bangalore,"Graphite India, White Field Road, Bangalore",Karnataka State Pollution Control Board,Industrial Area,17,32,82,NA
