Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
239,January - M011998,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,17.5,16.3,NA,39
206,January - M011998,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,13.5,16.5,NA,87
240,January - M011998,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,16.5,15.2,NA,37
260,January - M011998,Tamil Nadu,Coimbatore,Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",NA,10.3,NA,154
238,January - M011998,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,13.4,15.4,NA,158
38,January - M011998,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,15.3,9.9,NA,143
71,January - M011998,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,29.2,11.1,NA,148
72,January - M011998,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,2.9,6.1,NA,121
306,January - M011998,Tamil Nadu,Madurai,Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",NA,30.6,NA,100
307,January - M011998,Tamil Nadu,Madurai,Tamilnadu State Pollution Control Board,Industrial Area,7.9,16.5,NA,158
308,January - M011998,Tamil Nadu,Madurai,Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",6.6,26.7,NA,351
160,January - M011998,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",12.7,5.7,NA,48
159,January - M011998,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",16.5,9.7,NA,55
161,January - M011998,Tamil Nadu,Madras,NA,Industrial Area,15,6.3,NA,45
239,February - M021998,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,14.1,15.2,NA,56
240,February - M021998,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,24.5,15.6,NA,63
260,February - M021998,Tamil Nadu,Coimbatore,Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",NA,14.2,NA,139
238,February - M021998,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,9.5,16.6,NA,123
237,February - M021998,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,11,23.3,NA,168
38,February - M021998,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,4.2,13.6,NA,260
71,February - M021998,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,8.7,14.4,NA,148
72,February - M021998,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,3.2,14.4,NA,146
306,February - M021998,Tamil Nadu,Madurai,Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",16.3,39.2,NA,66
307,February - M021998,Tamil Nadu,Madurai,Tamilnadu State Pollution Control Board,Industrial Area,8.9,22,NA,172
308,February - M021998,Tamil Nadu,Madurai,Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",7.2,46.6,NA,297
309,February - M021998,Tamil Nadu,Salem,Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",20.2,8.9,NA,167
160,February - M021998,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",9,6.3,NA,64
159,February - M021998,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",8.2,7.6,NA,192
161,February - M021998,Tamil Nadu,Madras,NA,Industrial Area,9.2,3.9,NA,108
38,March - M031998,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,13.4,14.7,NA,226
71,March - M031998,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,25.2,27.9,NA,149
72,March - M031998,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,15.1,13.4,NA,136
239,March - M031998,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,21,17.3,NA,68
206,March - M031998,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,NA,14.5,NA,130
240,March - M031998,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,16.3,16.1,NA,50
260,March - M031998,Tamil Nadu,Coimbatore,Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",NA,18.4,NA,140
238,March - M031998,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,11.4,14.8,NA,144
309,March - M031998,Tamil Nadu,Salem,Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",22.2,12.6,NA,187
