Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
38,27-01-87,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial,0.5,0.3,NA,82
38,13-04-87,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial,12.9,1.3,NA,290
38,5/1/1987,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial,38.8,0.9,NA,222
38,6/1/1987,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial,29.7,1.1,NA,213
38,7/1/1987,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial,27.5,1.3,NA,223
38,8/3/1987,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial,16.7,1,NA,207
38,9/2/1987,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial,29.1,1.4,NA,175
38,10/2/1987,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial,15.3,1,NA,196
38,18-11-87,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial,30.6,0.8,NA,157
71,18-11-87,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial,19.9,1,NA,63
72,18-11-87,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial,14.2,1.7,NA,162
73,17-11-87,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Residential,12.1,0.9,NA,143
74,17-11-87,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Residential,20.8,1.6,NA,139
38,12/2/1987,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial,14.9,0.5,NA,113
71,12/2/1987,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial,33,0.7,NA,71
72,12/2/1987,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial,13.5,1.1,NA,161
73,12/1/1987,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Residential,8.3,0.8,NA,121
74,12/1/1987,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Residential,4,1,NA,116
