Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
40,January - M011993,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,21.6,25.5,NA,NA
41,January - M011993,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,26.1,25.8,NA,NA
40,February - M021993,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,18.9,26.2,NA,NA
41,February - M021993,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,20.1,23.2,NA,NA
40,March - M031993,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,19.8,45.1,NA,NA
41,March - M031993,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,22.5,40.6,NA,NA
40,April - M041993,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,26.2,24.8,NA,NA
41,April - M041993,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,24.2,22.3,NA,NA
40,May - M051993,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,24.9,24.5,NA,NA
41,May - M051993,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,16.6,30.8,NA,NA
40,June - M061993,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,24,25.1,NA,NA
41,June - M061993,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,17.8,17.5,NA,NA
40,July - M071993,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,27.6,47.8,NA,NA
41,July - M071993,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,17.6,15.8,NA,NA
40,August - M081993,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,31.6,34.1,NA,NA
41,August - M081993,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,25.2,31.1,NA,NA
40,September - M091993,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,22.9,20.6,NA,161
41,September - M091993,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,27,26.7,NA,NA
40,October - M101993,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,49.1,45.7,NA,NA
41,October - M101993,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,28.8,26.3,NA,NA
40,November - M111993,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,22.3,21.8,NA,NA
41,November - M111993,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,26.2,26.6,NA,NA
40,December - M121993,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,18,40.8,NA,NA
41,December - M121993,Karnataka,Mysore,Karnataka Pollution Control Board,Industrial Area,18,17.7,NA,NA
