Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
162,January - M012002,West Bengal,Calcutta,NA,Industrial Area,7.9,122.7,NA,265
162,February - M022002,West Bengal,Calcutta,NA,Industrial Area,8.1,131.8,NA,294
162,March - M032002,West Bengal,Calcutta,NA,Industrial Area,11,118.5,NA,376
162,April - M042002,West Bengal,Calcutta,NA,Industrial Area,11.3,78,NA,218
162,May - M052002,West Bengal,Calcutta,NA,Industrial Area,17.5,88.7,NA,181
162,June - M062002,West Bengal,Calcutta,NA,Industrial Area,14.1,57.4,NA,146
162,July - M072002,West Bengal,Calcutta,NA,Industrial Area,17.4,76.5,NA,190
162,August - M082002,West Bengal,Calcutta,NA,Industrial Area,11.6,62,NA,147
162,September - M092002,West Bengal,Calcutta,NA,Industrial Area,13,70.1,NA,142
162,October - M102002,West Bengal,Calcutta,NA,Industrial Area,15.5,102.2,NA,227
162,November - M112002,West Bengal,Calcutta,NA,Industrial Area,14.7,118.8,NA,316
162,December - M122002,West Bengal,Calcutta,NA,Industrial Area,17.7,129.6,NA,369
162,Annual - M132002,West Bengal,Calcutta,NA,Industrial Area,13.3,96.4,NA,239
163,January - M012002,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",7.3,112.3,NA,284
163,February - M022002,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",7.7,115.8,NA,268
163,March - M032002,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",9.5,91.2,NA,252
163,April - M042002,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",8.8,76.2,NA,178
163,May - M052002,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",13.6,77,NA,143
163,June - M062002,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",13.4,51,NA,121
163,July - M072002,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",14.3,64.6,NA,151
163,August - M082002,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",11.4,68.5,NA,124
163,September - M092002,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",11.8,71.4,NA,113
163,October - M102002,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",12.3,93.8,NA,175
163,November - M112002,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",15,110.8,NA,245
163,December - M122002,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",15.2,108.8,NA,285
163,Annual - M132002,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",11.7,86.8,NA,195
164,January - M012002,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",6.8,80,NA,215
164,February - M022002,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",7.2,80.8,NA,195
164,March - M032002,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",7.7,65.3,NA,194
164,April - M042002,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",8.2,46.6,NA,127
164,May - M052002,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",11.6,64.8,NA,107
164,June - M062002,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",10.9,34.3,NA,88
164,July - M072002,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",10.7,40.4,NA,94
164,August - M082002,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",9.6,42.9,NA,66
164,September - M092002,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",9.7,46,NA,73
164,October - M102002,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",8.7,59.3,NA,135
164,November - M112002,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",11,86.3,NA,190
164,December - M122002,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",10.1,95.5,NA,229
164,Annual - M132002,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",9.3,61.8,NA,143
14,January - M012002,West Bengal,Haldia,CMEC,Industrial Area,9.7,36.4,NA,133
14,February - M022002,West Bengal,Haldia,CMEC,Industrial Area,8.2,32.4,NA,138
14,March - M032002,West Bengal,Haldia,CMEC,Industrial Area,7.3,26.2,NA,98
14,April - M042002,West Bengal,Haldia,CMEC,Industrial Area,5.2,22.9,NA,55
14,May - M052002,West Bengal,Haldia,CMEC,Industrial Area,5.1,20.9,NA,47
14,June - M062002,West Bengal,Haldia,CMEC,Industrial Area,5,17.2,NA,36
