Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
100,January - M011990,Gujarat,Ahmedabad,Gujarat Pollution Control Board,Industrial Area,24.9,57.4,NA,368
101,January - M011990,Gujarat,Ahmedabad,Gujarat Pollution Control Board,Industrial Area,27.7,28.1,NA,298
102,January - M011990,Gujarat,Ahmedabad,Gujarat Pollution Control Board,"Residential, Rural and other Areas",16.5,37.9,NA,469
97,January - M011990,Gujarat,Ahmedabad,Gujarat Pollution Control Board,Industrial Area,14.7,38.6,NA,483
48,January - M011990,Gujarat,Baroda,Gujarat Pollution Control Board,"Residential, Rural and other Areas",10.9,9.1,NA,528
49,January - M011990,Gujarat,Baroda,Gujarat Pollution Control Board,Industrial Area,26.6,12,NA,419
47,January - M011990,Gujarat,Baroda,Gujarat Pollution Control Board,"Residential, Rural and other Areas",11.9,10.6,NA,545
51,January - M011990,Gujarat,Baroda,Gujarat Pollution Control Board,Industrial Area,28.5,12.8,NA,337
50,January - M011990,Gujarat,Baroda,Gujarat Pollution Control Board,"Residential, Rural and other Areas",15.7,8.4,NA,514
21,January - M011990,Gujarat,Surat,Gujarat Pollution Control Board,"Residential, Rural and other Areas",23,50.9,NA,257
22,January - M011990,Gujarat,Surat,Gujarat Pollution Control Board,Industrial Area,47,74.8,NA,237
99,January - M011990,Gujarat,Surat,Gujarat Pollution Control Board,Industrial Area,53.9,50.5,NA,337
23,January - M011990,Gujarat,Surat,Gujarat Pollution Control Board,"Residential, Rural and other Areas",39.4,52.9,NA,579
51,February - M021990,Gujarat,Baroda,Gujarat Pollution Control Board,Industrial Area,17,10.4,NA,303
47,February - M021990,Gujarat,Baroda,Gujarat Pollution Control Board,"Residential, Rural and other Areas",8.7,11.1,NA,434
50,February - M021990,Gujarat,Baroda,Gujarat Pollution Control Board,"Residential, Rural and other Areas",8,7.9,NA,320
49,February - M021990,Gujarat,Baroda,Gujarat Pollution Control Board,Industrial Area,17.6,9.4,NA,338
48,February - M021990,Gujarat,Baroda,Gujarat Pollution Control Board,"Residential, Rural and other Areas",11.2,8.1,NA,447
