Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
1/3/2006,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5,27.7,122,295
1/5/2006,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.1,33.3,154,359
1/8/2006,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,4.9,37.6,139,379
2/10/2006,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,6,37,151,361
14/2/2006,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,11.3,69.2,175,467
18/2/2006,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,8.8,41.7,198,443
21/2/2006,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,13.8,36.8,156,375
24/2/2006,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.3,50.5,152,406
27/2/2006,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,6.9,32.1,108,322
3/2/2006,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,8,23.2,93,265
3/5/2006,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,7.4,26.9,76,231
3/9/2006,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,6.1,31.5,87,283
3/11/2006,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.7,30.9,81,241
14/3/2006,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.1,22,91,264
17/3/2006,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.3,29.7,104,269
20/3/2006,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.5,30.8,95,257
24/3/2006,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,15.1,46.8,152,350
27/3/2006,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,7.6,33,113,277
4/2/2006,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,7.2,33.3,80,245
4/6/2006,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.4,26.8,103,271
4/8/2006,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.5,27.8,93,262
4/11/2006,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,10,41.8,107,283
14/4/2006,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,8.5,37.8,97,283
21/4/2006,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,6.3,29.5,105,299
25/4/2006,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,6.7,34.4,99,295
26/4/2006,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,8,29.8,102,270
