Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
75,January - M011990,Tamil Nadu,Turicorin,Tamil Nadu Pollution Control Board,"Residential, Rural and other Areas",19,11.8,NA,42
38,January - M011990,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,25.8,18.3,NA,177
71,January - M011990,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,22,23.1,NA,133
72,January - M011990,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,14.2,18.9,NA,144
73,January - M011990,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,"Residential, Rural and other Areas",7.9,28.3,NA,202
74,January - M011990,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,"Residential, Rural and other Areas",23,37.3,NA,174
161,January - M011990,Tamil Nadu,Madras,NA,Industrial Area,20.6,17,NA,169
160,January - M011990,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",10.1,9.5,NA,88
159,January - M011990,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",20.8,31.2,NA,98
75,February - M021990,Tamil Nadu,Turicorin,Tamil Nadu Pollution Control Board,"Residential, Rural and other Areas",18.7,6.6,NA,42
74,February - M021990,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,"Residential, Rural and other Areas",23,25.8,NA,132
73,February - M021990,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,"Residential, Rural and other Areas",12.5,15.6,NA,165
72,February - M021990,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,22.5,11.4,NA,146
71,February - M021990,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,138.3,15.1,NA,130
38,February - M021990,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,81,13.9,NA,221
161,February - M021990,Tamil Nadu,Madras,NA,Industrial Area,16.7,19.9,NA,165
160,February - M021990,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",8.8,15.1,NA,94
159,February - M021990,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",12.1,17.9,NA,100
74,March - M031990,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,"Residential, Rural and other Areas",3,20.2,NA,132
73,March - M031990,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,"Residential, Rural and other Areas",3.3,18.3,NA,150
72,March - M031990,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,12.5,37.9,NA,159
71,March - M031990,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,82.5,20.5,NA,111
38,March - M031990,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,19.4,18.6,NA,242
75,March - M031990,Tamil Nadu,Turicorin,Tamil Nadu Pollution Control Board,"Residential, Rural and other Areas",18.7,7,NA,40
161,March - M031990,Tamil Nadu,Madras,NA,Industrial Area,11,15.9,NA,120
160,March - M031990,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",8.6,11.5,NA,64
159,March - M031990,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",6.8,17.4,NA,69
74,April - M041990,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,"Residential, Rural and other Areas",2.1,16.1,NA,137
73,April - M041990,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,"Residential, Rural and other Areas",42.3,15.7,NA,151
72,April - M041990,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,19.6,64.8,NA,150
71,April - M041990,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,65.5,20.9,NA,139
38,April - M041990,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,45.1,21.1,NA,251
75,April - M041990,Tamil Nadu,Turicorin,Tamil Nadu Pollution Control Board,"Residential, Rural and other Areas",19.7,8.4,NA,55
161,April - M041990,Tamil Nadu,Madras,NA,Industrial Area,8.3,13.7,NA,143
160,April - M041990,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",6.3,6.2,NA,63
159,April - M041990,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",6.3,7.6,NA,85
74,May - M051990,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,"Residential, Rural and other Areas",6.3,61.8,NA,111
73,May - M051990,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,"Residential, Rural and other Areas",1.4,54.6,NA,98
72,May - M051990,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,39.8,86,NA,144
71,May - M051990,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,35.2,48.9,NA,115
38,May - M051990,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,62.1,60.1,NA,147
75,May - M051990,Tamil Nadu,Turicorin,Tamil Nadu Pollution Control Board,"Residential, Rural and other Areas",22.2,7.9,NA,43
161,May - M051990,Tamil Nadu,Madras,NA,Industrial Area,17.5,16.5,NA,92
160,May - M051990,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",9.7,9.9,NA,56
159,May - M051990,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",6.8,10.3,NA,72
75,June - M061990,Tamil Nadu,Turicorin,Tamil Nadu Pollution Control Board,"Residential, Rural and other Areas",21.6,9.9,NA,61
73,June - M061990,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,"Residential, Rural and other Areas",14.6,27.2,NA,103
72,June - M061990,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,16.7,41.2,NA,121
71,June - M061990,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,38.4,26.8,NA,103
38,June - M061990,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,14.8,20.8,NA,101
74,June - M061990,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,"Residential, Rural and other Areas",9.9,42.3,NA,129
161,June - M061990,Tamil Nadu,Madras,NA,Industrial Area,22,14.2,NA,121
160,June - M061990,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",7.9,8.7,NA,81
159,June - M061990,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",14.4,10.8,NA,104
38,July - M071990,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,10.9,14.5,NA,112
71,July - M071990,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,20.7,16.2,NA,111
72,July - M071990,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,4.6,25.8,NA,115
73,July - M071990,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,"Residential, Rural and other Areas",3,13.7,NA,116
74,July - M071990,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,"Residential, Rural and other Areas",3.7,25.1,NA,120
75,July - M071990,Tamil Nadu,Turicorin,Tamil Nadu Pollution Control Board,"Residential, Rural and other Areas",20.3,9.6,NA,35
161,July - M071990,Tamil Nadu,Madras,NA,Industrial Area,21.6,15.7,NA,106
160,July - M071990,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",10.1,10.1,NA,66
159,July - M071990,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",12.3,10.6,NA,75
161,August - M081990,Tamil Nadu,Madras,NA,Industrial Area,10.9,16.2,NA,113
160,August - M081990,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",10,10.4,NA,67
159,August - M081990,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",7.6,14.8,NA,93
38,September - M091990,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,16.1,11.7,NA,107
71,September - M091990,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,73.2,17.7,NA,113
72,September - M091990,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,5.2,17.3,NA,123
73,September - M091990,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,"Residential, Rural and other Areas",0.9,11.4,NA,120
