Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
71,Annual_1995,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,26.6,20.8,NA,109
72,January_1995,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,81,19.3,NA,93
72,April_1995,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,3.9,10.2,NA,90
72,May_1995,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,63,6.8,NA,85
72,June_1995,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,5.5,23.6,NA,112
72,July_1995,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,27.6,30.8,NA,115
72,August_1995,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,39.4,19.6,NA,185
72,September_1995,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,14.1,21.8,NA,137
72,October_1995,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,8.4,19.4,NA,200
72,November_1995,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,8.5,20,NA,108
72,Annual_1995,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,29.3,18.4,NA,129
206,September_1995,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,3.2,11.5,NA,25
206,Annual_1995,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,3.2,11.5,NA,25
239,January_1995,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,5.9,12.5,NA,21
239,February_1995,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,15.2,31.4,NA,35
239,March_1995,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,25.5,29.7,NA,39
239,April_1995,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,31.4,34,NA,52
239,May_1995,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,0.5,5.4,NA,43
239,June_1995,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,1.1,10.5,NA,81
239,July_1995,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,2.6,13.4,NA,36
239,September_1995,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,2,14.1,NA,61
239,October_1995,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,8,8.6,NA,74
239,November_1995,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,4,9.9,NA,22
239,December_1995,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,3.4,11.4,NA,49
239,Annual_1995,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,8.9,17.5,NA,48
240,January_1995,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,2.8,10.9,NA,36
240,February_1995,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,5.7,13.6,NA,29
240,March_1995,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,18.7,21.5,NA,39
240,April_1995,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,29.4,33.6,NA,54
240,May_1995,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,6.6,16.7,NA,38
240,June_1995,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,4.7,4.3,NA,36
240,July_1995,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,4.6,15.1,NA,26
