Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
3/6/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,14,27.3,150,358
3/10/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,12.4,26.4,156,374
13/3/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,12.2,26.8,164,381
17/3/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,13,27,145,357
20/3/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,13.2,27.6,159,380
24/3/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,13.4,26.4,129,317
4/3/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,12.2,23.5,135,312
4/7/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,11.4,24.8,124,279
4/10/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,11.9,23.4,136,178
14/4/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,11.5,25.6,143,183
17/4/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,12.4,26.2,159,216
21/4/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,11.5,24.8,135,188
24/4/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,12.2,23.5,138,190
28/4/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,13.8,25.9,141,332
5/1/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,12.6,24.2,141,322
5/4/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,11.6,23.6,139,317
5/8/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,12.7,25.5,151,365
5/11/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,11.8,23.7,143,325
15/5/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,11,22.9,134,318
18/5/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,10.7,23.5,139,337
22/5/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,11.3,25.8,131,302
25/5/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,11.9,24.7,115,291
29/5/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,10.8,23.5,108,254
6/1/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,11.5,21.1,105,230
6/5/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,13,25.2,116,276
6/8/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,11.8,24.5,96,222
6/12/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,10.1,21.1,79,185
15/6/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,11.6,21.8,85,195
19/6/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,10.2,23.2,83,187
22/6/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,10.5,23.9,116,261
26/6/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,11.6,25.8,98,218
29/6/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,11.9,24.2,96,222
7/3/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,12,22.4,89,198
7/8/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,10.5,19.3,76,169
7/10/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,12.7,21.7,105,239
13/7/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,13.2,23.5,109,245
17/7/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,10.4,20.4,116,264
20/7/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,10.8,20.1,87,198
24/7/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,11.3,23.2,109,253
27/7/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,9.7,20.3,99,216
8/1/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,10.6,21.4,108,248
8/3/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,11,23.5,107,250
8/9/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,10.1,20.1,99,224
8/10/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,9.8,19,92,202
14/8/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,9.9,18.4,70,151
17/8/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,10.4,22,83,191
21/8/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,10.5,21.9,114,225
24/8/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,11.9,24.1,94,212
28/8/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,11.6,23.9,103,236
31/8/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,10.6,21.4,111,249
9/4/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,11.3,23.6,108,243
9/7/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,9.7,21,70,157
9/11/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,9.4,23.9,108,238
14/9/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,10.2,23.6,121,272
18/9/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,9.9,23.1,118,264
21/9/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,10.2,22.1,106,233
25/9/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,11.3,24.7,119,261
28/9/2006,Gujarat,Ahmedabad,Cadilla Bridge Narol,Industrial Areas,10.8,22.7,125,276
