Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
168,January - M012002,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",28.3,25.8,NA,227
168,February - M022002,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",8.1,25.3,NA,219
168,March - M032002,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",6.5,19.3,NA,193
168,April - M042002,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",6.4,11,NA,178
168,May - M052002,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",6.7,10.1,NA,164
168,June - M062002,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",6.3,5.3,NA,201
168,July - M072002,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",6,4.8,NA,114
168,August - M082002,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",6.5,5.4,NA,120
168,September - M092002,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",7,8.2,NA,86
168,October - M102002,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",11.3,23,NA,156
168,November - M112002,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",8.5,35.6,NA,185
168,December - M122002,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",6.5,35.2,NA,162
168,Annual - M132002,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",8.8,17.3,NA,166
169,January - M012002,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",16.4,21.5,NA,230
169,February - M022002,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",12.7,24.8,NA,276
169,March - M032002,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",7.7,13.7,NA,174
169,April - M042002,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",6.3,11.5,NA,116
169,May - M052002,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",6.4,8.8,NA,125
169,June - M062002,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",7,7,NA,106
169,July - M072002,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",6.3,4.1,NA,131
169,August - M082002,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",6,7.8,NA,128
169,September - M092002,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",6.1,8.4,NA,103
169,October - M102002,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",12.8,22.5,NA,194
169,November - M112002,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",6.6,32.5,NA,205
169,December - M122002,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",8.8,37.8,NA,243
169,Annual - M132002,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",8.7,17,NA,171
170,January - M012002,Maharashtra,Bombay,NA,Industrial Area,13.6,26.3,NA,212
170,February - M022002,Maharashtra,Bombay,NA,Industrial Area,12.6,23.3,NA,265
170,March - M032002,Maharashtra,Bombay,NA,Industrial Area,7.5,14.5,NA,177
170,April - M042002,Maharashtra,Bombay,NA,Industrial Area,7.5,14.3,NA,173
170,May - M052002,Maharashtra,Bombay,NA,Industrial Area,7.5,8.3,NA,101
170,June - M062002,Maharashtra,Bombay,NA,Industrial Area,6.9,7.4,NA,114
170,July - M072002,Maharashtra,Bombay,NA,Industrial Area,6.5,4.5,NA,102
170,August - M082002,Maharashtra,Bombay,NA,Industrial Area,10.3,7.4,NA,105
170,September - M092002,Maharashtra,Bombay,NA,Industrial Area,13.9,11.1,NA,79
170,October - M102002,Maharashtra,Bombay,NA,Industrial Area,17,24.1,NA,183
170,November - M112002,Maharashtra,Bombay,NA,Industrial Area,7.2,34.6,NA,248
170,December - M122002,Maharashtra,Bombay,NA,Industrial Area,6,37.3,NA,268
170,Annual - M132002,Maharashtra,Bombay,NA,Industrial Area,9.7,17.8,NA,170
214,January - M012002,Maharashtra,Chandarpur,Maharashtra Pollution Control Board,NA,10.7,24.8,NA,NA
214,February - M022002,Maharashtra,Chandarpur,Maharashtra Pollution Control Board,NA,8.5,26.2,NA,NA
214,March - M032002,Maharashtra,Chandarpur,Maharashtra Pollution Control Board,NA,8.5,25.3,NA,NA
214,Annual - M132002,Maharashtra,Chandarpur,Maharashtra Pollution Control Board,NA,9.2,25.4,NA,NA
267,January - M012002,Maharashtra,Chandrapur,Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",23.7,51.4,NA,NA
267,February - M022002,Maharashtra,Chandrapur,Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",12.7,48,NA,NA
267,March - M032002,Maharashtra,Chandrapur,Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",12.8,48.6,NA,NA
267,April - M042002,Maharashtra,Chandrapur,Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",12.5,49.9,NA,NA
267,May - M052002,Maharashtra,Chandrapur,Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",16.7,49.6,NA,NA
267,June - M062002,Maharashtra,Chandrapur,Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",18,52.7,NA,NA
267,July - M072002,Maharashtra,Chandrapur,Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",13.8,48.7,NA,NA
267,August - M082002,Maharashtra,Chandrapur,Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",19.9,36.6,NA,140
267,September - M092002,Maharashtra,Chandrapur,Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",16.9,26.3,NA,191
267,October - M102002,Maharashtra,Chandrapur,Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",15.5,25.7,NA,106
267,November - M112002,Maharashtra,Chandrapur,Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",15.8,26.8,NA,84
267,December - M122002,Maharashtra,Chandrapur,Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",17.5,26.7,NA,151
267,Annual - M132002,Maharashtra,Chandrapur,Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",16.5,40.9,NA,124
281,January - M012002,Maharashtra,Chandrapur,Maharashtra State Pollution Control Board,Industrial Area,26.2,52.1,NA,NA
281,February - M022002,Maharashtra,Chandrapur,Maharashtra State Pollution Control Board,Industrial Area,14.9,52,NA,NA
281,March - M032002,Maharashtra,Chandrapur,Maharashtra State Pollution Control Board,Industrial Area,15.1,52.3,NA,NA
281,April - M042002,Maharashtra,Chandrapur,Maharashtra State Pollution Control Board,Industrial Area,16.4,49,NA,NA
281,May - M052002,Maharashtra,Chandrapur,Maharashtra State Pollution Control Board,Industrial Area,15.8,49.8,NA,NA
281,June - M062002,Maharashtra,Chandrapur,Maharashtra State Pollution Control Board,Industrial Area,14.9,48.8,NA,NA
281,July - M072002,Maharashtra,Chandrapur,Maharashtra State Pollution Control Board,Industrial Area,13.3,49.3,NA,NA
281,August - M082002,Maharashtra,Chandrapur,Maharashtra State Pollution Control Board,Industrial Area,20.7,39.1,NA,NA
281,September - M092002,Maharashtra,Chandrapur,Maharashtra State Pollution Control Board,Industrial Area,17.8,27.5,NA,NA
281,October - M102002,Maharashtra,Chandrapur,Maharashtra State Pollution Control Board,Industrial Area,16.7,28.2,NA,89
281,November - M112002,Maharashtra,Chandrapur,Maharashtra State Pollution Control Board,Industrial Area,15.7,27.1,NA,97
281,December - M122002,Maharashtra,Chandrapur,Maharashtra State Pollution Control Board,Industrial Area,15.9,25.9,NA,286
281,Annual - M132002,Maharashtra,Chandrapur,Maharashtra State Pollution Control Board,Industrial Area,17.2,41.8,NA,186
165,January - M012002,Maharashtra,Nagpur,NA,Industrial Area,11.2,21.2,NA,248
165,February - M022002,Maharashtra,Nagpur,NA,Industrial Area,9.5,14.3,NA,205
165,March - M032002,Maharashtra,Nagpur,NA,Industrial Area,8.3,15.2,NA,319
165,April - M042002,Maharashtra,Nagpur,NA,Industrial Area,6.7,10.3,NA,355
165,May - M052002,Maharashtra,Nagpur,NA,Industrial Area,6.5,7.2,NA,225
165,June - M062002,Maharashtra,Nagpur,NA,Industrial Area,6.2,8.4,NA,154
165,July - M072002,Maharashtra,Nagpur,NA,Industrial Area,7.5,8.1,NA,130
165,August - M082002,Maharashtra,Nagpur,NA,Industrial Area,14.3,9.3,NA,108
165,September - M092002,Maharashtra,Nagpur,NA,Industrial Area,6.5,7.2,NA,121
165,October - M102002,Maharashtra,Nagpur,NA,Industrial Area,6.3,16.5,NA,257
165,November - M112002,Maharashtra,Nagpur,NA,Industrial Area,13.9,17.4,NA,281
165,December - M122002,Maharashtra,Nagpur,NA,Industrial Area,7.9,18.5,NA,348
165,Annual - M132002,Maharashtra,Nagpur,NA,Industrial Area,8.7,12.9,NA,233
166,January - M012002,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",6.8,23.9,NA,306
166,February - M022002,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",8.3,18.5,NA,249
166,March - M032002,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",6.7,17,NA,323
166,April - M042002,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",6,14.9,NA,482
166,May - M052002,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",6,11.3,NA,354
166,June - M062002,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",6,13.8,NA,245
166,July - M072002,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",6,9.7,NA,186
