Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
162,January_1995,West Bengal,Calcutta,NA,Industrial Area,87.5,46.4,NA,678
162,February_1995,West Bengal,Calcutta,NA,Industrial Area,85.3,43,NA,554
162,March_1995,West Bengal,Calcutta,NA,Industrial Area,55.9,46.5,NA,507
162,April_1995,West Bengal,Calcutta,NA,Industrial Area,36,36.7,NA,574
162,May_1995,West Bengal,Calcutta,NA,Industrial Area,29.9,21.8,NA,395
162,June_1995,West Bengal,Calcutta,NA,Industrial Area,11.9,20.7,NA,271
162,July_1995,West Bengal,Calcutta,NA,Industrial Area,21.3,21.4,NA,229
162,August_1995,West Bengal,Calcutta,NA,Industrial Area,14.8,20.9,NA,208
162,September_1995,West Bengal,Calcutta,NA,Industrial Area,19.5,22.8,NA,356
162,October_1995,West Bengal,Calcutta,NA,Industrial Area,50.6,34.5,NA,280
162,November_1995,West Bengal,Calcutta,NA,Industrial Area,34.9,37.5,NA,324
162,December_1995,West Bengal,Calcutta,NA,Industrial Area,97,59.2,NA,752
162,Annual_1995,West Bengal,Calcutta,NA,Industrial Area,47.4,35.2,NA,447
163,January_1995,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",115.2,58.1,NA,558
163,February_1995,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",93.7,54.3,NA,429
163,March_1995,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",64,56.9,NA,351
163,April_1995,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",20.2,31.6,NA,285
163,May_1995,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",11.7,16.4,NA,323
163,June_1995,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",11.3,18,NA,291
163,July_1995,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",9.7,22.3,NA,253
163,August_1995,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",20.4,26.8,NA,228
163,September_1995,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",26.5,28.7,NA,212
163,October_1995,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",43.5,33.5,NA,239
163,November_1995,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",49.7,49.3,NA,390
163,December_1995,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",94.8,61.8,NA,611
163,Annual_1995,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",47.1,38.3,NA,357
164,January_1995,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",19,31.2,NA,401
164,February_1995,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",11.6,19.1,NA,303
164,March_1995,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",28.9,23.4,NA,312
164,April_1995,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",7.2,9,NA,162
164,May_1995,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",6,3.6,NA,115
164,June_1995,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",8.2,4,NA,261
164,July_1995,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",6,3.5,NA,91
164,August_1995,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",6,6.8,NA,251
164,September_1995,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",6,3.4,NA,81
164,October_1995,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",10,11.7,NA,90
164,November_1995,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",10.2,24,NA,269
164,December_1995,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",28.2,39.3,NA,532
164,Annual_1995,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",12.6,16.2,NA,259
14,January_1995,West Bengal,Haldia,CMEC,Industrial Area,27.2,44.1,NA,139
14,February_1995,West Bengal,Haldia,CMEC,Industrial Area,30.2,52.3,NA,148
14,March_1995,West Bengal,Haldia,CMEC,Industrial Area,40.7,59.7,NA,181
14,April_1995,West Bengal,Haldia,CMEC,Industrial Area,26.8,46,NA,110
14,May_1995,West Bengal,Haldia,CMEC,Industrial Area,28.4,48,NA,106
14,June_1995,West Bengal,Haldia,CMEC,Industrial Area,31.2,49.3,NA,106
14,July_1995,West Bengal,Haldia,CMEC,Industrial Area,19.6,34.1,NA,71
14,August_1995,West Bengal,Haldia,CMEC,Industrial Area,27.1,45.5,NA,70
14,September_1995,West Bengal,Haldia,CMEC,Industrial Area,28.3,42.7,NA,70
14,October_1995,West Bengal,Haldia,CMEC,Industrial Area,24.3,38,NA,59
14,Annual_1995,West Bengal,Haldia,CMEC,Industrial Area,28.7,46.3,NA,106
15,January_1995,West Bengal,Haldia,CMEC,Industrial Area,31.6,45,NA,160
