Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
1/5/2005,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.7,65.6,213,400
1/8/2005,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.4,76.4,195,385
1/11/2005,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.3,78.1,173,357
13-01-05,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.1,70.6,239,473
16-01-05,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.7,68.6,319,615
21-01-05,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.4,63.2,252,404
24-01-05,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.7,51.2,182,265
27-01-05,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.1,71.5,336,620
2/1/2005,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.9,52.6,112,222
2/4/2005,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.3,71.3,342,598
2/6/2005,West Bengal,Asansol,Asansol M.C.,Industrial Areas,7.9,71.3,313,505
2/9/2005,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.3,72.1,140,237
15-02-05,West Bengal,Asansol,Asansol M.C.,Industrial Areas,7,76.1,187,406
19-02-05,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.2,58.3,175,377
21-02-05,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.2,72.9,101,232
24-02-05,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.3,66.4,109,214
3/1/2005,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.9,64,137,291
3/4/2005,West Bengal,Asansol,Asansol M.C.,Industrial Areas,7.7,88.6,243,481
3/7/2005,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.2,59.9,89,260
3/10/2005,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.9,68.4,163,363
13-03-05,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.5,63.9,161,288
19-03-05,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6,39.6,60,164
21-03-05,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.9,59.6,192,429
23-03-05,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.5,54.8,111,232
28-03-05,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.8,47.7,92,206
4/2/2005,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.6,47.4,120,267
4/5/2005,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5,43.9,60,186
4/8/2005,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.9,48.3,60,181
4/11/2005,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.9,37.7,80,197
13-04-05,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.3,56.2,184,449
17-04-05,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.2,53.3,98,270
20-04-05,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.5,52.1,110,295
24-04-05,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.7,49.1,100,267
28-04-05,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.7,57.9,12,367
5/3/2005,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.2,54.6,77,242
5/6/2005,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.9,43.7,97,256
5/12/2005,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.3,51,133,352
14-05-05,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.2,55.6,99,246
16-05-05,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.9,40.5,104,307
20-05-05,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.4,47.1,57,200
25-05-05,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.4,39.2,67,222
27-05-05,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5,47.6,58,197
29-05-05,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5,39.7,60,177
6/3/2005,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.1,41.8,110,326
6/6/2005,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.6,40.9,66,194
6/9/2005,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.9,43.2,70,184
14-06-05,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.7,34.1,71,237
18-06-05,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5,31.3,115,353
21-06-05,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.8,28.8,38,113
23-06-05,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5,26.9,66,143
26-06-05,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.8,33.1,49,108
29-06-05,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.3,37.5,20,49
7/6/2005,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.2,34.5,75,115
7/9/2005,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.8,38.2,47,113
7/12/2005,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.7,41.4,43,81
15-07-05,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.2,34.6,29,48
18-07-05,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.5,34.6,51,105
21-07-05,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.1,32.7,45,85
24-07-05,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.1,35.3,34,63
28-07-05,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.6,30.5,22,51
8/3/2005,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.9,20.1,24,43
8/6/2005,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.3,26.5,31,96
8/9/2005,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.9,33.8,66,178
8/12/2005,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.3,35.2,74,185
17-08-05,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.3,38.1,49,103
19-08-05,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.9,30.9,54,117
22-08-05,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.7,33.1,36,79
25-08-05,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5,35.1,69,168
28-08-05,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.9,32.4,65,173
9/2/2005,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.6,23,16,60
9/3/2005,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.9,38,32,94
9/6/2005,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.4,30.5,47,138
9/9/2005,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.2,25.5,45,103
9/12/2005,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.6,23,16,60
15-09-05,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.3,33.4,126,212
19-09-05,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.9,30,72,184
21-09-05,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.6,27.7,55,132
25-09-05,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5,33.4,65,161
27-09-05,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.4,36.6,73,146
10/4/2005,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.4,37.4,32,104
10/6/2005,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.1,46.4,79,194
10/9/2005,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.3,46.7,151,312
14-10-05,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.4,54.3,117,248
19-10-05,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.6,30.9,31,85
22-10-05,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.9,25,20,49
24-10-05,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.7,33.9,55,117
26-10-05,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.5,35.6,134,247
11/3/2005,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.8,54.3,139,268
