Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
7/3/2009,Andhra Pradesh,Guntur,Hindu College Guntur,Residential and others,4,9,79,191
7/4/2009,Andhra Pradesh,Guntur,Hindu College Guntur,Residential and others,4,9,76,183
7/9/2009,Andhra Pradesh,Guntur,Hindu College Guntur,Residential and others,4,9,80,195
7/10/2009,Andhra Pradesh,Guntur,Hindu College Guntur,Residential and others,4,9,76,186
15/7/2009,Andhra Pradesh,Guntur,Hindu College Guntur,Residential and others,4,9,75,180
16/7/2009,Andhra Pradesh,Guntur,Hindu College Guntur,Residential and others,4,9,80,193
23/7/2009,Andhra Pradesh,Guntur,Hindu College Guntur,Residential and others,4,9,76,186
24/7/2009,Andhra Pradesh,Guntur,Hindu College Guntur,Residential and others,4,9,79,191
8/6/2009,Andhra Pradesh,Guntur,Hindu College Guntur,Residential and others,4,9,87,207
8/7/2009,Andhra Pradesh,Guntur,Hindu College Guntur,Residential and others,4,9,97,240
8/11/2009,Andhra Pradesh,Guntur,Hindu College Guntur,Residential and others,4,9,93,235
8/12/2009,Andhra Pradesh,Guntur,Hindu College Guntur,Residential and others,4,9,101,249
17/8/2009,Andhra Pradesh,Guntur,Hindu College Guntur,Residential and others,4,9,109,265
18/8/2009,Andhra Pradesh,Guntur,Hindu College Guntur,Residential and others,4,9,88,218
26/8/2009,Andhra Pradesh,Guntur,Hindu College Guntur,Residential and others,4,9,98,235
27/8/2009,Andhra Pradesh,Guntur,Hindu College Guntur,Residential and others,4,9,94,243
9/1/2009,Andhra Pradesh,Guntur,Hindu College Guntur,Residential and others,4,9,101,264
9/2/2009,Andhra Pradesh,Guntur,Hindu College Guntur,Residential and others,4,9,99,264
9/10/2009,Andhra Pradesh,Guntur,Hindu College Guntur,Residential and others,4,9,88,229
9/11/2009,Andhra Pradesh,Guntur,Hindu College Guntur,Residential and others,4,9,98,259
16/9/2009,Andhra Pradesh,Guntur,Hindu College Guntur,Residential and others,4,9,98,249
17/9/2009,Andhra Pradesh,Guntur,Hindu College Guntur,Residential and others,4,9,92,234
23/9/2009,Andhra Pradesh,Guntur,Hindu College Guntur,Residential and others,4,9,86,221
24/9/2009,Andhra Pradesh,Guntur,Hindu College Guntur,Residential and others,4,9,91,247
10/5/2009,Andhra Pradesh,Guntur,Hindu College Guntur,Residential and others,4,9,86,215
10/6/2009,Andhra Pradesh,Guntur,Hindu College Guntur,Residential and others,4,9,92,232
10/12/2009,Andhra Pradesh,Guntur,Hindu College Guntur,Residential and others,4,9,81,195
13/10/2009,Andhra Pradesh,Guntur,Hindu College Guntur,Residential and others,4,9,83,214
19/10/2009,Andhra Pradesh,Guntur,Hindu College Guntur,Residential and others,4,9,84,224
20/10/2009,Andhra Pradesh,Guntur,Hindu College Guntur,Residential and others,4,9,72,182
27/10/2009,Andhra Pradesh,Guntur,Hindu College Guntur,Residential and others,4,9,82,212
28/10/2009,Andhra Pradesh,Guntur,Hindu College Guntur,Residential and others,4,9,77,201
