Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
52,January - M011991,Maharashtra,Pune,Maharashtra Pollution Control Board,Industrial Area,16.5,56.9,NA,296
137,January - M011991,Maharashtra,Pune,NA,Industrial Area,17.2,37.3,NA,271
138,January - M011991,Maharashtra,Pune,NA,"Residential, Rural and other Areas",10.3,21,NA,201
175,January - M011991,Maharashtra,Pune,NA,Industrial Area,21.1,54.1,NA,392
166,January - M011991,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",9.3,11.1,NA,228
165,January - M011991,Maharashtra,Nagpur,NA,Industrial Area,18.3,15.7,NA,182
94,January - M011991,Maharashtra,Nagpur,Maharashtra Pollution Control Board,"Residential, Rural and other Areas",4.9,26.3,NA,306
133,January - M011991,Maharashtra,Nagpur,NA,Industrial Area,5,27.4,NA,148
134,January - M011991,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",3.6,21.7,NA,242
135,January - M011991,Maharashtra,Nagpur,NA,Industrial Area,4.1,19.8,NA,290
136,January - M011991,Maharashtra,Nagpur,NA,Industrial Area,4,30.8,NA,237
167,January - M011991,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",11.5,11.4,NA,199
170,January - M011991,Maharashtra,Bombay,NA,Industrial Area,45,36.4,NA,231
169,January - M011991,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",33.7,35.6,NA,324
168,January - M011991,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",34.8,36,NA,391
54,January - M011991,Maharashtra,Pune,Maharashtra Pollution Control Board,"Residential, Rural and other Areas",12.6,30.7,NA,296
52,February - M021991,Maharashtra,Pune,Maharashtra Pollution Control Board,Industrial Area,16.3,44.9,NA,221
94,February - M021991,Maharashtra,Nagpur,Maharashtra Pollution Control Board,"Residential, Rural and other Areas",5.6,27.6,NA,332
133,February - M021991,Maharashtra,Nagpur,NA,Industrial Area,6.3,29.1,NA,218
134,February - M021991,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",5.4,24.4,NA,248
135,February - M021991,Maharashtra,Nagpur,NA,Industrial Area,4.3,25.6,NA,364
136,February - M021991,Maharashtra,Nagpur,NA,Industrial Area,4.3,24.7,NA,447
175,February - M021991,Maharashtra,Pune,NA,Industrial Area,15.1,41.8,NA,224
137,February - M021991,Maharashtra,Pune,NA,Industrial Area,14.3,36.6,NA,232
54,February - M021991,Maharashtra,Pune,Maharashtra Pollution Control Board,"Residential, Rural and other Areas",NA,NA,NA,NA
169,February - M021991,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",27.1,33.3,NA,208
170,February - M021991,Maharashtra,Bombay,NA,Industrial Area,38.3,33.7,NA,196
167,February - M021991,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",15.9,8.8,NA,195
166,February - M021991,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",15.6,9,NA,282
165,February - M021991,Maharashtra,Nagpur,NA,Industrial Area,31.5,11.6,NA,175
168,February - M021991,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",27.5,31.4,NA,313
94,March - M031991,Maharashtra,Nagpur,Maharashtra Pollution Control Board,"Residential, Rural and other Areas",5.6,16.9,NA,273
133,March - M031991,Maharashtra,Nagpur,NA,Industrial Area,4.1,16.9,NA,213
134,March - M031991,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",5.5,16.2,NA,241
135,March - M031991,Maharashtra,Nagpur,NA,Industrial Area,2.6,19.9,NA,205
136,March - M031991,Maharashtra,Nagpur,NA,Industrial Area,4.8,21.3,NA,386
138,March - M031991,Maharashtra,Pune,NA,"Residential, Rural and other Areas",12.3,24.2,NA,96
54,March - M031991,Maharashtra,Pune,Maharashtra Pollution Control Board,"Residential, Rural and other Areas",18.1,35.9,NA,146
169,March - M031991,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",17.2,30.1,NA,279
170,March - M031991,Maharashtra,Bombay,NA,Industrial Area,35.5,29,NA,216
167,March - M031991,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",9.2,7.9,NA,179
166,March - M031991,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",8,6,NA,181
165,March - M031991,Maharashtra,Nagpur,NA,Industrial Area,13,11.1,NA,196
168,March - M031991,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",15.7,21.3,NA,268
52,April - M041991,Maharashtra,Pune,Maharashtra Pollution Control Board,Industrial Area,23,47,NA,169
94,April - M041991,Maharashtra,Nagpur,Maharashtra Pollution Control Board,"Residential, Rural and other Areas",4.8,18,NA,364
133,April - M041991,Maharashtra,Nagpur,NA,Industrial Area,3.9,16.1,NA,295
135,April - M041991,Maharashtra,Nagpur,NA,Industrial Area,4.7,16.3,NA,383
136,April - M041991,Maharashtra,Nagpur,NA,Industrial Area,3.2,17,NA,393
138,April - M041991,Maharashtra,Pune,NA,"Residential, Rural and other Areas",16,28.7,NA,144
137,April - M041991,Maharashtra,Pune,NA,Industrial Area,24.4,60.3,NA,231
54,April - M041991,Maharashtra,Pune,Maharashtra Pollution Control Board,"Residential, Rural and other Areas",19.8,42.3,NA,153
169,April - M041991,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",17,22.5,NA,177
170,April - M041991,Maharashtra,Bombay,NA,Industrial Area,28.9,21,NA,165
167,April - M041991,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",6.8,6,NA,196
166,April - M041991,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",6.5,5.9,NA,288
165,April - M041991,Maharashtra,Nagpur,NA,Industrial Area,10.5,9.3,NA,232
168,April - M041991,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",13,17.4,NA,226
52,May - M051991,Maharashtra,Pune,Maharashtra Pollution Control Board,Industrial Area,23.6,53.4,NA,146
94,May - M051991,Maharashtra,Nagpur,Maharashtra Pollution Control Board,"Residential, Rural and other Areas",2.4,16.3,NA,317
133,May - M051991,Maharashtra,Nagpur,NA,Industrial Area,4.6,21.1,NA,122
135,May - M051991,Maharashtra,Nagpur,NA,Industrial Area,3.8,20,NA,352
136,May - M051991,Maharashtra,Nagpur,NA,Industrial Area,3.8,16.8,NA,385
175,May - M051991,Maharashtra,Pune,NA,Industrial Area,21.2,45.1,NA,133
138,May - M051991,Maharashtra,Pune,NA,"Residential, Rural and other Areas",14.4,32.1,NA,127
137,May - M051991,Maharashtra,Pune,NA,Industrial Area,20.1,49.3,NA,167
54,May - M051991,Maharashtra,Pune,Maharashtra Pollution Control Board,"Residential, Rural and other Areas",16.2,39.8,NA,161
169,May - M051991,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",8.9,13.6,NA,153
170,May - M051991,Maharashtra,Bombay,NA,Industrial Area,23.5,12.3,NA,171
167,May - M051991,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",7.4,4.2,NA,162
166,May - M051991,Maharashtra,Nagpur,NA,"Residential, Rural and other Areas",8.8,6.6,NA,281
165,May - M051991,Maharashtra,Nagpur,NA,Industrial Area,7.3,4.9,NA,172
168,May - M051991,Maharashtra,Bombay,NA,"Residential, Rural and other Areas",13.2,13.8,NA,241
137,June - M061991,Maharashtra,Pune,NA,Industrial Area,19.3,43,NA,124
52,June - M061991,Maharashtra,Pune,Maharashtra Pollution Control Board,Industrial Area,16.3,41.8,NA,127
54,June - M061991,Maharashtra,Pune,Maharashtra Pollution Control Board,"Residential, Rural and other Areas",17.1,33.4,NA,162
